107;lancecarlson;Ann Arbor, MI;67;95;{'ActionScript': 49566, 'Go': 40500, 'Shell': 6136, 'CSS': 58602, 'HTML': 4372, 'Ruby': 245062, 'JavaScript': 184690, 'CoffeeScript': 19361}
108;drnic;Palo Alto, CA, USA;1506;425;{'PHP': 145, 'Shell': 330925, 'HTML': 13698, 'JavaScript': 2030673, 'CoffeeScript': 1343, 'Protocol Buffer': 11598, 'Objective-C': 10006, 'Java': 1459, 'Ruby': 5184186, 'Python': 151181, 'Go': 2509783, 'Scheme': 9281}
109;lukesutton;South Australia;32;19;{'Swift': 175415, 'Clojure': 5316, 'CSS': 976, 'Objective-C': 23964, 'Ruby': 54244, 'JavaScript': 74860, 'CoffeeScript': 24353}
110;danwrong;London;297;31;{'Makefile': 446, 'Ruby': 146118, 'JavaScript': 703762, 'HTML': 24303, 'ActionScript': 14267}
111;hcatlin;San Francisco, CA;444;58;{'TypeScript': 36071, 'Objective-C': 38466, 'Shell': 167, 'CSS': 157164, 'HTML': 2083, 'Ruby': 747091, 'JavaScript': 1100750, 'CoffeeScript': 844, 'Go': 4108, 'C': 267699}
113;mattetti;Santa Monica, CA;744;233;{'Shell': 5083, 'CSS': 30980, 'HTML': 4214434, 'JavaScript': 501838, 'CoffeeScript': 17325, 'Lua': 1660, 'Objective-C': 285965, 'Makefile': 373, 'Ruby': 2511283, 'C++': 1549447, 'Python': 68084, 'Go': 780125, 'Scala': 8374, 'C': 1381561}
114;ctennis;Columbus Indiana;12;11;{'Erlang': 14540, 'Go': 1456, 'Rust': 13009}
115;lawrencepit;Copacabana, Australia;18;39;{'Visual Basic': 4461, 'Shell': 4628, 'CSS': 545, 'Ruby': 168189, 'Perl': 25145, 'JavaScript': 2165, 'C': 6893}
117;grempe;San Francisco, CA;38;22;{'Erlang': 14601, 'Shell': 4720, 'CSS': 1005753, 'HTML': 468659, 'Ruby': 613281, 'JavaScript': 1370240, 'HCL': 239, 'Elixir': 51074}
118;peterc;Cambridge, UK;564;33;{'Ruby': 305180, 'JavaScript': 52593, 'CoffeeScript': 7335, 'Shell': 186, 'Python': 299}
119;ministrycentered;Carlsbad, CA;0;62;{'Objective-C': 195608, 'CSS': 335, 'Ruby': 39994, 'JavaScript': 822, 'CoffeeScript': 31536, 'C': 506}
120;afarnham;Houston, TX;13;8;{'Python': 16112}
121;up_the_irons;Los Angeles;18;30;{'CSS': 1068274, 'Shell': 4427, 'Emacs Lisp': 5640, 'VimL': 4494, 'Ruby': 4240597, 'JavaScript': 4066879, 'Perl': 1981}
122;cristibalan;Bucharest;72;21;{'CSS': 8547, 'HTML': 95, 'Objective-C': 244, 'Shell': 27442, 'VimL': 635602, 'Makefile': 1041, 'Ruby': 216280, 'JavaScript': 17635, 'CoffeeScript': 1402, 'Perl': 12419, 'C': 28731}
123;heavysixer;Kansas City;66;54;{'Handlebars': 130654, 'Java': 1325, 'CSS': 37540, 'HTML': 74952, 'Ruby': 227443, 'JavaScript': 2178277, 'CoffeeScript': 10995}
124;brosner;Denver, CO;616;103;{'ActionScript': 13537, 'Go': 1301, 'Shell': 2504, 'CSS': 443, 'Makefile': 186, 'PHP': 557, 'JavaScript': 535662, 'Python': 3332250, 'C++': 14804, 'C': 3274099}
125;danielmorrison;Holland, MI;78;14;{'Ruby': 1018}
126;danielharan;Montreal, QC, Canada;68;33;{'Ruby': 421288, 'JavaScript': 117201550}
127;kvnsmth;SF;73;22;{'Ruby': 12888, 'JavaScript': 8885, 'Objective-C': 34408}
128;collectiveidea;Holland, MI;0;162;{'Shell': 4647, 'CSS': 62575, 'Batchfile': 72, 'HTML': 498066, 'JavaScript': 142033, 'CoffeeScript': 57359, 'TeX': 33217, 'Swift': 29991, 'Cucumber': 12607, 'Ruby': 20037177, 'Objective-C': 504, 'Go': 5612, 'Arduino': 1535}
129;canadaduane;Salt Lake City, UT, USA;60;105;{'Haskell': 74383, 'PHP': 20942, 'Shell': 30106, 'CSS': 159031, 'HTML': 6457, 'Perl': 7130, 'CoffeeScript': 15071, 'Processing': 71686, 'Julia': 17139, 'Ragel in Ruby Host': 60595, 'Java': 289406, 'VimL': 8828, 'Ruby': 2395599, 'C++': 149528, 'Python': 760031, 'JavaScript': 855986, 'Arduino': 52607, 'C': 575070}
130;nate;Milwaukee, WI;44;70;{'Go': 10082, 'Shell': 1303, 'VimL': 803690, 'Ruby': 264476, 'JavaScript': 85559, 'Python': 130176, 'Scheme': 3403}
131;dstrelau;Chicago;54;34;{'Clojure': 5183, 'Go': 18869, 'Shell': 6517, 'VimL': 108924, 'Ruby': 31391, 'CoffeeScript': 3687}
132;sunny;Paris, France;94;103;{'Python': 170628, 'PHP': 2854437, 'Shell': 1799, 'CSS': 49247, 'HTML': 39772, 'Ruby': 502232, 'JavaScript': 352383, 'CoffeeScript': 24913, 'Perl': 2018}
133;dkubb;Mission, BC, Canada;442;34;{'Ruby': 1939401, 'Haskell': 4262, 'Shell': 8452, 'Nginx': 2768}
